"Work (W), Instance (I), Item (Item)",Path to value,MARC destination,MARC Repeatability,Conversion,Notes
W,contribution/bflc:PrimaryContribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName),100,NR,,Each contribution/bflc:Contribution/agent/madsrdf:PersonalName will create a MARC 100.
W,contribution/bflc:PrimaryContribution/agent/madsrdf:PersonalName,100 I1,NR,"""1""",
W,contribution/bflc:PrimaryContribution/agent/madsrdf:FamilyName,100 I1 ,NR,"""3""",
W,contribution/bflc:PrimaryContribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName),100 I2,NR,""" """,
W,contribution/bflc:PrimaryContribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:elementList/madsrdf:FullNameElement/madsrdf:elementValue,100 $a,NR,,
,,100 $b,NR,,
W,contribution/bflc:PrimaryContribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:elementList/madsrdf:TermsOfAddressNameElement/madsrdf:elementValue,100 $c,RR,,
W,contribution/bflc:PrimaryContribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:elementList/madsrdf:DateNameElement/madsrdf:elementValue,100 $d,NR,,
W,contribution/bflc:PrimaryContribution/role/Role/rdfs:label && (contribution/bflc:PrimaryContribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)),100 $e,R,,
,,100 $j,R,,nac - information cannot be determined from madsrdf.
W,contribution/bflc:PrimaryContribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:fullerName/madsrdf:PersonalName/rdfs:label,100 $q,NR,,
,,100 $u,NR,,nac - information cannot be determined from madsrdf.
W,contribution/bflc:PrimaryContribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName),100 $0,RR,value == URI,
W,contribution/bflc:PrimaryContribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:hasExactExternalAuthority,100 $1,R,,
W,contribution/bflc:PrimaryContribution/role/Role/code && (contribution/bflc:PrimaryContribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)),100 $4,R,,$4 generated from code
W,contribution/bflc:PrimaryContribution/role/Role && (contribution/bflc:PrimaryContribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)),100 $4,R,,$4 generated from URI
W,,100 $6,NR,,See specs for linkage.
W,contribution/bflc:PrimaryContribution/agent/madsrdf:CorporateName,110,NR,,Each contribution/bflc:Contribution/agent/madsrdf:CorporateName will create a MARC 110.
W,contribution/bflc:PrimaryContribution/agent/madsrdf:CorporateName,110 I1,NR,"""2""",
W,contribution/bflc:PrimaryContribution/agent/madsrdf:CorporateName,110 I2,NR,""" """,
W,contribution/bflc:PrimaryContribution/agent/madsrdf:CorporateName/madsrdf:elementList/madsrdf:NameElement[1]/madsrdf:elementValue,110 $a,NR,,The first element in the elementList collection becomes $a
W,contribution/bflc:PrimaryContribution/agent/madsrdf:CorporateName/madsrdf:elementList/madsrdf:NameElement[pos()>1]/madsrdf:elementValue,110 $b,R,,Each additional element in the elementList becomes a $b
,,110 $c,R,,nac
,contribution/bflc:PrimaryContribution/agent/madsrdf:CorporateName/madsrdf:elementList/madsrdf:DateNameElement/madsrdf:elementValue,110 $d,R,,
W,contribution/bflc:PrimaryContribution/role/Role/rdfs:label && (contribution/bflc:PrimaryContribution/agent/madsrdf:CorporateName),110 $e,R,,
W,contribution/bflc:PrimaryContribution/agent/madsrdf:CorporateName,110 $0,RR,value == URI,
W,contribution/bflc:PrimaryContribution/agent/madsrdf:CorporateName/madsrdf:hasExactExternalAuthority,110 $1,R,,
W,contribution/bflc:PrimaryContribution/role/Role/code && (contribution/bflc:PrimaryContribution/agent/madsrdf:CorporateName),110 $4,R,,$4 generated from code
W,contribution/bflc:PrimaryContribution/role/Role && (contribution/bflc:PrimaryContribution/agent/madsrdf:CorporateName),110 $4,R,,$4 generated from URI
W,,110 $6,NR,,See specs for linkage.
W,contribution/bflc:PrimaryContribution/agent/madsrdf:ConferenceName,111,NR,,Each contribution/bflc:Contribution/agent/madsrdf:ConferenceName will create a MARC 111.
W,contribution/bflc:PrimaryContribution/agent/madsrdf:ConferenceName,111 I1,NR,""" """,nac
W,contribution/bflc:PrimaryContribution/agent/madsrdf:ConferenceName,111 I2,NR,""" """,
W,contribution/bflc:PrimaryContribution/agent/madsrdf:ConferenceName/madsrdf:elementList/madsrdf:NameElement/madsrdf:elementValue,111 $a,NR,,
W,contribution/bflc:PrimaryContribution/agent/madsrdf:ConferenceName/madsrdf:elementList/madsrdf:GeographicElement/madsrdf:elementValue,111 $c,R,,
W,contribution/bflc:PrimaryContribution/agent/madsrdf:ConferenceName/madsrdf:elementList/madsrdf:DateNameElement/madsrdf:elementValue,111 $d,NR,,
,,111 $e,R,,nac
,,111 $g,NR,,nac
W,contribution/bflc:PrimaryContribution/role/Role/rdfs:label && (contribution/bflc:PrimaryContribution/agent/madsrdf:ConferenceName),111 $j,R,,
,,111 $u,NR,,nac
W,contribution/bflc:PrimaryContribution/agent/madsrdf:ConferenceName,111 $0,RR,value == URI,
W,contribution/bflc:PrimaryContribution/agent/madsrdf:ConferenceName/madsrdf:hasExactExternalAuthority,111 $1,R,,
W,contribution/bflc:PrimaryContribution/role/Role/code && (contribution/bflc:PrimaryContribution/agent/madsrdf:ConferenceName),111 $4,R,,$4 generated from code
W,contribution/bflc:PrimaryContribution/role/Role && (contribution/bflc:PrimaryContribution/agent/madsrdf:ConferenceName),111 $4,R,,$4 generated from URI
W,,111 $6,NR,,See specs for linkage.
W,subject/(madsrdf:PersonalName || madsrdf:FamilyName),600,R,,Each subject/madsrdf:PersonalName will create a MARC 600.
W,subject/madsrdf:PersonalName,600 I1,NR,"""1""",
W,subject/madsrdf:FamilyName,600 I1,NR,"""3""",
W,subject/(madsrdf:PersonalName || madsrdf:FamilyName),600 I2,NR,"""0""",
W,subject/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:elementList/madsrdf:FullNameElement/madsrdf:elementValue,600 $a,NR,,
W,,600 $b,NR,,
W,subject/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:elementList/madsrdf:TermsOfAddressNameElement/madsrdf:elementValue,600 $c,RR,,
W,subject/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:elementList/madsrdf:DateNameElement/madsrdf:elementValue,600 $d,NR,,
W,subject/Agent/role/Role/rdfs:label && (contribution/bflc:Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)),600 $e,R,,
,,600 $g,R,,nac
W,,600 $j,R,,nac - information cannot be determined from madsrdf.
W,subject/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:fullerName/(madsrdf:PersonalName || madsrdf:FamilyName)/rdfs:label,600 $q,NR,,
W,,600 $u,NR,,nac - information cannot be determined from madsrdf.
W,subject/(madsrdf:PersonalName || madsrdf:FamilyName),600 $0,RR,value == URI,
W,subject/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:hasExactExternalAuthority,600 $1,R,,
W,subject/Agent/role/Role/code && (contribution/bflc:Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)),600 $4,R,,$4 generated from code
W,subject/Agent/role/Role && (contribution/bflc:Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)),600 $4,NR,,$4 generated from URI
W,,600 $6,,,See specs for linkage.
W,subject/madsrdf:CorporateName,610,NR,,Each subject/madsrdf:CorporateName will create a MARC 610.
W,subject/madsrdf:CorporateName,610 I1,NR,"""2""",
W,subject/madsrdf:CorporateName,610 I2,NR,"""0""",
W,subject/madsrdf:CorporateName/madsrdf:elementList/madsrdf:NameElement[1]/madsrdf:elementValue,610 $a,NR,,The first element in the elementList collection becomes $a
,subject/madsrdf:CorporateName/madsrdf:elementList/madsrdf:NameElement[pos()>1]/madsrdf:elementValue,610 $b,R,,Each additional element in the elementList becomes a $b
